-1,CVST,(UTC-01:00) Cape Verde Is.,Cape Verde Standard Time,"Atlantic/Cape_Verde,Etc/GMT+1"
1,MDT,(UTC) Casablanca,Morocco Standard Time,"Africa/Casablanca,Africa/El_Aaiun"
0,UTC,(UTC) Coordinated Universal Time,UTC,"America/Danmarkshavn,Etc/GMT"
1,GDT,"(UTC) Dublin, Edinburgh, Lisbon, London",GMT Standard Time,"Atlantic/Canary,Atlantic/Faeroe,Atlantic/Madeira,Europe/Dublin,Europe/Guernsey,Europe/Isle_of_Man,Europe/Jersey,Europe/Lisbon,Europe/London"
0,GST,"(UTC) Monrovia, Reykjavik",Greenwich Standard Time,"Africa/Abidjan,Africa/Accra,Africa/Bamako,Africa/Banjul,Africa/Bissau,Africa/Conakry,Africa/Dakar,Africa/Freetown,Africa/Lome,Africa/Monrovia,Africa/Nouakchott,Africa/Ouagadougou,Africa/Sao_Tome,Atlantic/Reykjavik,Atlantic/St_Helena"
2,WEDT,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time,"Arctic/Longyearbyen,Europe/Amsterdam,Europe/Andorra,Europe/Berlin,Europe/Busingen,Europe/Gibraltar,Europe/Luxembourg,Europe/Malta,Europe/Monaco,Europe/Oslo,Europe/Rome,Europe/San_Marino,Europe/Stockholm,Europe/Vaduz,Europe/Vatican,Europe/Vienna,Europe/Zurich"
2,CEDT,"(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time,"Europe/Belgrade,Europe/Bratislava,Europe/Budapest,Europe/Ljubljana,Europe/Podgorica,Europe/Prague,Europe/Tirane"
2,RDT,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",Romance Standard Time,"Africa/Ceuta,Europe/Brussels,Europe/Copenhagen,Europe/Madrid,Europe/Paris"
2,CEDT,"(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time,"Europe/Sarajevo,Europe/Skopje,Europe/Warsaw,Europe/Zagreb"
1,WCAST,(UTC+01:00) West Central Africa,W. Central Africa Standard Time,"Africa/Algiers,Africa/Bangui,Africa/Brazzaville,Africa/Douala,Africa/Kinshasa,Africa/Lagos,Africa/Libreville,Africa/Luanda,Africa/Malabo,Africa/Ndjamena,Africa/Niamey,Africa/Porto-Novo,Africa/Tunis,Etc/GMT-1"
1,NST,(UTC+01:00) Windhoek,Namibia Standard Time,Africa/Windhoek
3,GDT,"(UTC+02:00) Athens, Bucharest",GTB Standard Time,"Asia/Nicosia,Europe/Athens,Europe/Bucharest,Europe/Chisinau"
3,MEDT,(UTC+02:00) Beirut,Middle East Standard Time,Asia/Beirut
2,EST,(UTC+02:00) Cairo,Egypt Standard Time,Africa/Cairo
3,SDT,(UTC+02:00) Damascus,Syria Standard Time,Asia/Damascus
3,EEDT,(UTC+02:00) E. Europe,E. Europe Standard Time,"Asia/Nicosia,Europe/Athens,Europe/Bucharest,Europe/Chisinau,Europe/Helsinki,Europe/Kiev,Europe/Mariehamn,Europe/Nicosia,Europe/Riga,Europe/Sofia,Europe/Tallinn,Europe/Uzhgorod,Europe/Vilnius,Europe/Zaporozhye"
